timestamp,ax,ay,az,gx,gy,gz
328877,0.15540,-1.03503,-0.27710,9.15527,-26.00098,2.86865
328918,0.12610,-0.98328,-0.28076,4.88281,-22.03369,8.17871
328960,0.13843,-0.98096,-0.32434,14.46533,-22.15576,7.56836
329001,0.14978,-0.94849,-0.36023,2.56348,-11.90186,3.47900
329043,0.14917,-0.95117,-0.37354,2.01416,-3.84521,-3.23486
329086,0.16455,-0.95679,-0.37549,-0.42725,-6.10352,1.89209
329130,0.16138,-0.93530,-0.35474,-8.42285,-6.10352,3.84521
329173,0.16003,-0.91199,-0.32153,-14.16016,-0.42725,-1.03760
329215,0.11462,-0.90002,-0.28162,-10.00977,-0.97656,-1.28174
329256,0.11511,-0.92737,-0.25745,-7.20215,4.27246,-0.73242
329298,0.09509,-0.92908,-0.22607,-11.77979,18.49365,-1.77002
329340,0.05518,-0.92908,-0.21619,-4.69971,21.36230,-1.40381
329383,0.03113,-0.91980,-0.16589,-7.32422,27.95410,0.85449
329425,-0.00574,-0.92444,-0.16260,0.06104,27.58789,5.06592
329466,-0.00952,-0.92712,-0.16846,-2.62451,38.33008,5.43213
329508,0.03955,-0.96594,-0.17358,9.09424,49.49951,12.69531
329549,0.10437,-1.04907,-0.18152,5.92041,56.33545,11.71875
329590,0.11548,-1.13110,-0.15356,8.78906,55.54199,7.81250
329630,0.16907,-1.19641,-0.20825,15.13672,60.48584,14.40430
329672,0.18201,-1.24719,-0.27368,17.76123,63.90381,21.78955
329713,0.18567,-1.25330,-0.36072,26.12305,58.89893,26.73340
329753,0.19214,-1.26721,-0.45923,10.80322,57.61719,32.22656
329795,0.10010,-1.32324,-0.54175,8.11768,54.07715,25.26855
329837,0.05835,-1.32788,-0.62256,-7.08008,51.45264,44.92188
329878,-0.06799,-1.47168,-0.74231,-15.56396,40.89355,57.31201
329919,-0.13513,-1.64709,-0.95044,-8.11768,33.63037,75.86670
329960,0.13037,-1.46912,-1.51587,-4.08936,8.36182,142.08984
330001,0.55310,-1.35461,-1.46558,-28.62549,-34.97314,151.30615
330042,0.67432,-0.12488,-0.37585,-79.77295,-112.24365,113.40332
330085,1.09167,0.14807,1.15637,-50.59814,-204.40674,56.51855
330126,0.71753,0.15051,1.32092,18.49365,-120.54443,0.54932
330168,0.06787,0.01440,0.87317,32.10449,-50.90332,-17.51709
330209,-0.13379,-0.53943,0.16711,11.41357,-26.00098,-63.78174
330251,-0.38538,-0.86646,-0.02881,0.30518,-17.94434,-88.43994
330294,-0.41077,-1.05847,-0.04431,2.99072,-16.72363,-87.09717
330337,-0.35962,-1.20337,-0.01477,19.53125,-11.23047,-61.46240
330381,-0.31421,-1.20862,-0.00452,19.77539,-12.02393,-39.85596
330424,-0.26648,-1.26868,-0.01135,13.79395,-6.89697,-38.51318
330467,-0.30444,-1.21033,0.00244,9.09424,-3.41797,-24.35303
