timestamp,ax,ay,az,gx,gy,gz
705909,0.00696,0.01672,1.00720,1.09863,-0.48828,0.61035
705950,0.01050,0.01733,1.00354,1.40381,-0.24414,0.67139
705991,0.00757,0.02026,1.00562,1.40381,-0.48828,1.09863
706031,0.00793,0.02222,1.00818,1.40381,-0.85449,0.97656
706072,0.00696,0.02222,1.00366,1.34277,-0.30518,0.85449
706113,0.00659,0.02454,0.99829,1.15967,-0.42725,0.12207
706152,0.00403,0.02100,1.00500,1.83105,-1.40381,-0.18311
706193,0.00940,0.01636,1.01270,0.91553,-1.15967,-0.30518
706233,0.00549,0.02185,1.01123,2.01416,0.42725,1.40381
706271,0.00476,0.02258,1.00708,1.03760,0.12207,0.61035
706310,0.00476,0.02527,1.00293,1.46484,0.12207,0.48828
706348,0.00769,0.02161,0.99609,1.09863,0.30518,-0.18311
706387,0.00708,0.02429,1.00574,0.91553,-0.54932,-0.54932
706427,0.01404,0.01782,1.00391,0.85449,-0.12207,-1.40381
706467,0.01245,0.01563,0.99377,0.24414,-0.54932,-1.09863
706506,0.01233,0.01367,0.99182,0.91553,-1.77002,-0.67139
706546,0.00854,0.01465,1.01770,0.85449,-2.86865,-0.12207
706586,0.01318,0.02063,1.01929,0.73242,-0.06104,0.48828
706625,0.00671,0.03101,1.01135,0.48828,0.85449,-0.36621
706665,0.01013,0.02979,1.00159,-0.48828,-0.48828,-2.99072
706706,0.01440,0.02686,1.00745,-0.91553,0.00000,-3.41797
706745,0.01367,0.02698,0.99719,-0.73242,1.03760,-4.21143
706785,0.01196,0.02405,1.00073,-1.52588,-1.03760,-5.06592
706826,0.01440,0.01941,1.00488,-0.91553,-0.36621,-4.39453
706867,0.00952,0.01794,1.00415,-0.61035,0.30518,-3.78418
706906,0.00879,0.01599,0.98804,-0.54932,-0.12207,-3.17383
706947,0.00330,0.01282,0.99695,-0.18311,-2.07520,-3.54004
706988,0.00317,0.00476,1.00549,0.30518,-1.89209,-2.62451
707030,0.00122,0.00476,1.01904,-0.12207,-1.40381,-2.44141
707073,0.00476,0.00659,1.02734,-1.89209,-1.03760,-3.11279
707115,0.00513,-0.00256,1.00806,-2.86865,-0.42725,-2.44141
707158,0.00781,0.00439,1.00378,0.12207,0.67139,0.30518
707198,0.00537,0.00977,1.00854,0.24414,0.06104,0.42725
707238,0.00964,0.00891,1.01050,0.06104,0.48828,1.09863
707278,0.01038,0.01135,1.00659,1.22070,1.40381,1.64795
707318,0.01160,0.01721,1.00574,0.24414,0.73242,1.40381
707357,0.02417,0.01611,0.98926,0.67139,1.15967,1.28174
707397,0.02063,0.01746,0.96033,1.09863,-1.15967,2.01416
707439,0.00977,0.01599,0.99304,-0.97656,-6.65283,-0.30518
707480,0.01416,-0.00281,1.01477,0.85449,-5.12695,0.85449
707520,0.00574,0.00586,1.02856,0.97656,-3.05176,4.08936
707560,0.00037,0.00977,1.02661,2.50244,-1.28174,2.31934
707601,0.00879,0.00635,1.02295,1.34277,-0.79346,1.46484
707642,0.00757,0.00549,1.02856,1.58691,0.67139,2.07520
707682,0.01367,0.01074,1.03052,1.70898,2.62451,3.47900
707720,0.00928,0.01587,1.02441,2.31934,4.69971,3.11279
707759,0.01587,0.02075,1.01062,1.34277,5.18799,2.07520
707799,0.01953,0.01904,0.99951,2.62451,5.55420,0.61035
707839,0.02759,0.01550,0.99182,1.15967,4.33350,-0.12207
707879,0.02917,0.01550,0.97778,2.07520,3.47900,-0.12207
707920,0.02234,0.01367,0.97021,0.67139,1.03760,-1.22070
707960,0.01917,0.01416,0.98645,0.67139,-1.09863,-2.01416
708002,0.01660,0.01025,0.98547,0.12207,-0.85449,-2.44141
708043,0.00037,0.01160,0.99329,0.67139,-3.60107,-2.50244
708085,0.00403,0.00342,1.01294,0.12207,-4.63867,-3.41797
708126,-0.00330,-0.00684,1.01135,-0.36621,-3.84521,-1.64795
708170,-0.00647,-0.00073,1.02673,0.36621,-2.80762,1.22070
708211,-0.00769,0.00745,1.02380,1.77002,-0.24414,3.23486
708252,-0.00635,0.01489,1.01709,2.19727,1.15967,3.29590
708293,-0.00684,0.03015,1.02344,0.73242,1.46484,1.09863
708334,0.00220,0.02197,1.00720,1.22070,2.68555,-1.64795
708374,0.00842,0.01392,0.98706,0.48828,2.25830,-1.34277
708415,0.01001,0.01526,0.99414,1.46484,0.97656,-1.28174
708456,0.01685,0.01233,0.99829,0.00000,0.12207,-1.46484
708496,0.01135,0.01221,0.99597,1.40381,-0.06104,-0.06104
708537,0.01440,0.01465,1.00195,0.36621,-1.58691,0.12207
708577,0.01135,0.01758,0.99683,1.46484,-0.61035,1.52588
708618,0.00378,0.02307,1.00061,1.83105,-1.46484,1.40381
708658,0.00537,0.02649,1.01306,0.54932,-3.11279,0.54932
708700,0.00623,0.01709,1.00793,2.74658,-1.15967,1.64795
708740,0.00146,0.02893,1.01428,2.19727,-1.03760,2.50244
708780,0.00171,0.02856,1.01135,2.56348,-0.79346,0.48828
708819,0.00378,0.02734,1.01257,2.07520,-0.18311,0.67139
708859,0.00293,0.02930,1.00525,2.38037,0.85449,0.79346
708897,0.00146,0.03064,0.99792,2.50244,1.40381,0.06104
708936,0.00647,0.02856,0.99695,1.77002,0.91553,-1.34277
708975,0.00745,0.01794,0.99390,1.34277,0.61035,-2.80762
709014,0.01733,0.01221,1.00037,0.06104,-0.24414,-2.38037
709053,0.01807,0.01001,1.00293,0.12207,0.00000,-1.70898
709092,0.01526,0.01721,1.00049,0.00000,-0.06104,-0.36621
709133,0.01184,0.02185,0.99353,-0.06104,-0.30518,0.18311
709173,0.00574,0.02698,1.00085,0.12207,-1.28174,0.54932
709212,0.00806,0.03320,1.00891,0.00000,-0.67139,0.18311
709251,0.00366,0.03198,1.00647,0.85449,-0.91553,-0.48828
709291,0.00891,0.03076,1.00635,-0.36621,-1.03760,-1.22070
709331,0.00586,0.03174,0.99194,1.70898,0.18311,-0.73242
709370,0.00085,0.03040,0.98962,0.61035,-2.56348,-1.46484
709410,0.00342,0.02185,1.00867,-0.30518,-3.84521,-1.58691
709450,0.00159,0.01953,1.01184,1.58691,-0.91553,0.30518
709489,-0.00476,0.03284,1.01770,-0.18311,-1.46484,-0.36621
709531,-0.00037,0.03027,1.00220,-3.35693,-0.73242,-4.08936
709572,-0.02075,0.06348,1.03027,-16.23535,-3.47900,-6.83594
709613,-0.02258,0.06653,1.05945,-23.13232,-1.15967,-17.08984
709654,-0.03674,0.05103,1.10645,-41.99219,-1.03760,-28.93066
709695,-0.01453,-0.02502,1.12524,-48.95020,3.11279,-32.22656
709737,-0.00964,-0.08032,1.10486,-47.11914,16.35742,-28.99170
709778,-0.00696,-0.14941,1.02942,-45.10498,19.71436,-25.02441
709819,0.00549,-0.23401,0.93298,-21.05713,28.68652,-12.02393
709860,-0.01013,-0.24988,0.89124,-0.36621,33.69141,3.84521
709900,-0.01306,-0.25842,0.81543,17.82227,25.75684,9.21631
709940,0.00024,-0.21448,0.82800,28.07617,12.57324,16.54053
709979,-0.00012,-0.18555,0.87866,18.79883,0.67139,17.70020
710019,-0.01282,-0.14087,0.93140,14.58740,-9.70459,14.40430
710060,-0.02454,-0.11865,0.96252,9.82666,-15.44189,7.69043
710100,-0.02905,-0.10291,0.99390,6.16455,-17.21191,3.72314
710141,-0.04480,-0.08838,1.02441,1.64795,-16.35742,1.15967
710182,-0.05017,-0.08899,1.02441,1.64795,-15.62500,3.23486
710222,-0.05298,-0.08948,1.01062,3.17383,-14.22119,4.76074
710263,-0.06445,-0.06238,1.03345,-1.09863,-13.00049,4.33350
710304,-0.11060,0.06726,1.11890,-35.82764,-13.97705,-7.08008
710345,-0.07544,-0.05420,1.01245,-84.28955,-18.43262,-46.38672
710387,0.02808,-0.26160,0.96338,-11.84082,3.11279,-29.66309
710427,-0.03381,-0.29980,1.14880,-20.44678,-3.66211,-19.34814
710469,0.00305,-0.37000,1.14063,-22.09473,0.97656,-10.25391
710509,0.01929,-0.30945,1.03516,-10.43701,31.00586,13.67187
710550,-0.02588,-0.27881,0.92578,-19.40918,33.75244,12.08496
710593,-0.04309,-0.30566,0.83533,-20.69092,20.50781,-1.64795
710636,-0.01904,-0.33313,0.81970,-3.54004,6.22559,-5.37109
710678,0.01501,-0.32336,0.84802,6.95801,3.90625,3.90625
710718,0.01160,-0.30518,0.87573,13.24463,0.30518,9.82666
710759,0.01208,-0.29700,0.91602,19.53125,-8.42285,9.70459
710802,0.01013,-0.29309,0.93445,30.45654,-12.26807,11.59668
710843,0.02063,-0.27075,0.92688,49.49951,-12.51221,17.21191
710884,0.02393,-0.16431,1.04724,46.93604,-16.47949,21.91162
710926,0.05530,-0.13000,1.04553,22.82715,-9.39941,16.41846
710966,0.00354,-0.12659,0.96228,26.85547,-1.70898,19.22607
711005,-0.02112,-0.07361,0.94238,24.65820,-3.60107,21.60645
711046,-0.05701,-0.07019,0.94324,10.07080,-12.75635,9.82666
711088,-0.05469,-0.08997,1.02417,8.17871,-18.85986,1.40381
711132,-0.03345,-0.10754,1.07092,7.50732,-14.34326,0.54932
711174,-0.01013,-0.11609,1.05908,9.76562,-4.82178,6.22559
711217,-0.01270,-0.08118,1.03796,11.23047,-0.24414,11.59668
711260,-0.01196,-0.05249,1.01587,-1.03760,-1.64795,5.73730
711302,-0.00208,-0.06860,0.99316,-0.61035,-2.80762,3.47900
711344,0.00671,-0.06360,1.02478,2.31934,-1.95312,3.66211
711386,0.01917,-0.06519,1.03735,0.24414,-1.58691,-0.36621
711429,0.02917,-0.07666,1.01563,-0.24414,0.24414,15.44189
711471,0.02429,-0.07935,0.99268,3.17383,0.24414,0.61035
711511,0.02527,-0.07483,0.99988,2.80762,-1.09863,0.97656
711553,0.02466,-0.07117,1.00818,3.35693,-0.36621,0.54932
711595,0.02405,-0.06506,1.01135,3.41797,0.36621,-1.77002
711635,0.02356,-0.07312,1.00037,1.95312,0.42725,-4.45557
711678,0.02637,-0.07556,0.99097,1.95312,0.00000,-5.12695
711719,0.02478,-0.07727,1.00366,2.62451,-0.61035,-5.55420
711761,0.02905,-0.07532,1.01941,0.73242,-2.62451,-7.01904
711802,0.03113,-0.08069,1.02197,2.07520,-0.67139,-6.16455
711845,0.01953,-0.06067,1.01050,2.07520,1.15967,-4.39453
711885,0.01379,-0.04602,1.01868,4.69971,1.52588,-7.20215
711926,0.01184,-0.04883,1.00574,2.92969,3.05176,-8.91113
711967,0.00903,-0.05969,0.97888,5.43213,6.22559,-8.97217
712008,-0.00830,-0.06262,0.99622,9.88770,8.48389,-7.99561
712049,-0.00818,-0.07947,0.99927,10.13184,8.05664,-4.21143
712091,-0.00916,-0.10022,1.00769,14.77051,9.64355,1.64795
712132,-0.02649,-0.10168,1.07715,15.68604,5.00488,1.46484
712173,-0.00769,-0.12244,1.06812,6.71387,2.31934,-3.54004
712216,-0.00146,-0.11096,1.03845,10.80322,4.88281,-1.15967
712257,-0.01453,-0.10193,0.97437,14.40430,8.60596,-0.67139
712298,-0.03040,-0.09717,0.96924,16.29639,5.43213,-2.31934
712340,-0.03345,-0.11560,0.94836,6.40869,-1.34277,-3.23486
712382,-0.02759,-0.12573,0.97327,9.03320,-0.48828,-5.67627
712424,-0.03186,-0.12402,0.99146,7.08008,-2.74658,-3.41797
712467,-0.01270,-0.12427,1.00745,12.75635,-1.70898,-4.82178
712510,0.01257,-0.05530,1.03101,8.54492,-0.54932,-7.08008
712551,0.02014,-0.03821,0.97168,5.79834,-1.58691,-8.54492
712594,-0.00745,0.02893,1.01636,10.19287,-10.62012,-16.66260
712635,0.00354,0.05322,1.06006,-6.22559,-15.86914,-23.43750
712676,-0.01306,0.02759,1.03650,6.71387,-8.11768,-18.06641
712717,0.00696,0.13220,1.12366,1.09863,0.36621,2.38037
712757,0.02417,0.16626,1.10718,-3.29590,3.84521,13.97705
712797,0.03088,0.19580,1.07288,6.46973,18.61572,19.71436
712837,-0.00549,0.17395,0.93115,8.78906,29.05273,14.40430
712878,-0.01672,0.17041,0.85498,4.15039,23.37646,17.88330
712918,-0.00513,0.15454,0.86841,2.80762,19.34814,18.98193
712958,0.01440,0.15747,0.88867,0.24414,18.00537,17.94434
712999,0.00195,0.15869,0.90076,-0.54932,14.09912,11.77979
713038,-0.00708,0.14807,0.94617,-5.06592,5.61523,6.34766
713079,-0.00818,0.11902,0.97729,-11.59668,1.46484,-0.85449
713120,0.00513,0.11194,0.96008,-13.79395,6.59180,2.74658
713160,-0.01782,0.09790,0.92627,-4.51660,9.88770,4.45557
713200,-0.07532,0.12903,0.97205,-5.67627,1.83105,0.67139
713240,-0.10498,0.10388,0.97388,-12.57324,-2.19727,-10.74219
713283,-0.12891,0.04919,0.96472,-8.30078,-3.41797,-14.52637
713325,-0.17102,0.07690,1.16772,-8.60596,-21.24023,-24.71924
713367,-0.12170,0.04578,1.20630,-25.69580,-34.60693,-41.87012
713410,-0.14453,-0.03674,1.08728,-13.85498,-24.16992,-24.96338
713451,-0.15662,-0.02905,0.97363,-1.46484,-3.35693,-1.28174
713493,-0.17065,-0.01318,0.85767,15.56396,14.58740,19.53125
713533,-0.19373,0.04419,0.92310,23.01025,9.76562,22.46094
713572,-0.15601,0.06030,1.03381,14.89258,-2.44141,5.37109
713612,-0.12939,0.03174,1.06543,11.04736,-7.99561,-7.93457
713655,-0.12366,0.00354,1.08203,20.56885,-8.36182,-14.89258
713696,-0.12512,-0.00562,1.02942,11.41357,-5.61523,-17.51709
713738,-0.12756,-0.02209,0.96301,19.47021,3.72314,-11.53564
713780,-0.13477,0.01111,0.95959,16.78467,5.06592,-5.43213
713820,-0.10730,0.03015,0.96863,11.65771,3.23486,-10.07080
713860,-0.06738,0.04810,0.96838,22.03369,1.77002,-11.16943
713900,-0.04333,0.10376,1.01392,36.31592,3.29590,-14.34326
713940,-0.06567,0.17371,1.05872,16.17432,-9.39941,-27.09961
713980,-0.05078,0.17517,1.04187,4.88281,-14.46533,-35.21729
714020,-0.04102,0.19177,0.99011,13.54980,-0.18311,-24.96338
714061,-0.04797,0.20178,0.96436,11.47461,5.49316,-16.66260
714100,-0.01270,0.25598,0.95605,26.18408,9.03320,-7.08008
714140,-0.01794,0.32812,1.02734,22.76611,3.05176,-8.42285
714180,-0.01477,0.28882,0.96960,2.31934,-7.44629,-12.32910
714220,-0.01697,0.25916,0.90979,10.31494,-3.72314,-1.83105
714261,-0.04419,0.27185,0.85889,9.09424,0.73242,6.10352
714300,-0.06653,0.32092,0.86987,15.13672,-0.06104,11.41357
714340,-0.06104,0.35376,0.90210,8.91113,-2.92969,5.79834
714379,-0.02869,0.37329,0.94080,1.70898,-6.89697,0.18311
714419,0.00171,0.35779,0.91431,-0.91553,-10.68115,-3.96729
714460,-0.03040,0.42603,0.94006,13.54980,-10.86426,-1.40381
714501,-0.05432,0.37769,0.91931,25.87891,-6.46973,-15.13672
714541,-0.03882,0.25696,0.83618,27.34375,-4.69971,-15.80811
714582,-0.11475,0.19617,0.84094,29.60205,-12.57324,-8.66699
714622,-0.17053,0.21948,0.92566,45.47119,-26.73340,-18.55469
714662,-0.24280,0.30737,1.00598,38.57422,-48.03467,-40.28320
714703,-0.24243,0.28015,0.91638,62.50000,-52.00195,-50.90332
714743,-0.18262,0.44958,0.86108,74.21875,-40.77148,-57.49512
714784,-0.20435,0.49023,0.80798,59.50928,-61.15723,-67.93213
714824,-0.12598,0.53882,0.87354,37.17041,-97.77832,-72.63184
714866,-0.07104,0.44592,0.89478,55.90820,-115.78369,-66.83350
714909,0.17664,0.61414,0.87268,61.95068,-90.88135,-53.83301
714950,0.34399,0.79749,0.88391,80.87158,-88.74512,-45.47119
714991,0.38037,1.01294,0.88538,23.49854,-122.55859,-52.36816
715033,0.41455,0.97058,0.83508,14.09912,-109.68018,-71.53320
715073,0.42151,0.71069,0.87427,30.82275,-76.11084,-61.03516
715114,0.36682,0.78662,0.96790,-9.88770,-59.69238,-27.46582
715157,0.60864,0.54639,0.90967,8.17871,-17.45605,-20.81299
715197,0.41650,0.47119,1.12390,-8.36182,-0.42725,20.32471
715237,0.59766,0.41113,1.39319,-22.58301,34.42383,66.10107
715278,0.87402,0.44373,1.57886,-10.00977,119.87305,109.80225
